folder,photo,iou,area_old,area_new,area_ratio,h_old,h_new,h_ratio,w_old,w_new,w_ratio
3679,IMG_20260604_065628_1,0.9258,559602,589230,1.0529,1032,1094,1.0601,806,781,0.969
3679,IMG_20260604_065629,0.926,576066,606953,1.0536,1008,1062,1.0536,780,781,1.0013
3679,IMG_20260604_065629_1,0.9415,575406,599191,1.0413,1008,1030,1.0218,800,800,1.0
3679,IMG_20260604_065630,0.9233,600588,624566,1.0399,984,1024,1.0407,908,883,0.9725
3679,IMG_20260604_065630_1,0.9332,585726,606345,1.0352,984,1024,1.0407,857,838,0.9778
3679,IMG_20260604_065631,0.9279,606144,620625,1.0239,984,1018,1.0346,857,845,0.986
3679,IMG_20260604_065632,0.9299,621912,655096,1.0534,1080,1126,1.0426,985,979,0.9939
3679,IMG_20260604_065632_1,0.9323,611622,642791,1.051,1008,1049,1.0407,960,934,0.9729
3679,IMG_20260604_065633,0.9294,622920,658001,1.0563,1056,1108,1.0492,883,870,0.9853
3679,IMG_20260604_065633_1,0.943,633444,660963,1.0434,984,1037,1.0539,960,941,0.9802
3679,IMG_20260604_065634,0.9306,597450,626613,1.0488,1008,1069,1.0605,883,864,0.9785
3679,IMG_20260604_065634_1,0.9363,610476,643527,1.0541,1008,1049,1.0407,883,864,0.9785
3679,IMG_20260604_065635,0.9464,607902,637476,1.0486,1008,1056,1.0476,851,851,1.0
3679,IMG_20260604_065635_1,0.9485,657990,690907,1.05,1080,1127,1.0435,851,851,1.0
3679,IMG_20260604_065636,0.9282,612918,639395,1.0432,1008,1056,1.0476,857,832,0.9708
3679,IMG_20260604_065636_1,0.9421,605880,629318,1.0387,1008,1044,1.0357,851,851,1.0
3679,IMG_20260604_065637,0.9417,593376,615966,1.0381,984,1024,1.0407,857,838,0.9778
3679,IMG_20260604_065637_1,0.9273,611736,640490,1.047,984,1030,1.0467,1011,998,0.9871
3679,IMG_20260604_065638,0.9236,626796,651478,1.0394,1080,1139,1.0546,857,838,0.9778
3679,IMG_20260604_065638_1,0.9436,620700,649264,1.046,1008,1049,1.0407,883,858,0.9717
3679,IMG_20260604_065639,0.9373,621402,650700,1.0471,1032,1081,1.0475,934,928,0.9936
3679,IMG_20260604_065639_1,0.941,652398,678776,1.0404,1176,1222,1.0391,857,845,0.986
3679,IMG_20260604_065639_2,0.9338,630168,657317,1.0431,1032,1075,1.0417,857,845,0.986
3679,IMG_20260604_065642,0.9253,3057228,3227466,1.0557,1968,2074,1.0539,2548,2535,0.9949
3679,IMG_20260604_065643,0.9383,623370,656298,1.0528,1008,1049,1.0407,883,858,0.9717
3679,IMG_20260604_065644,0.9313,581946,608899,1.0463,984,1024,1.0407,908,883,0.9725
3679,IMG_20260604_065644_1,0.9356,612504,644164,1.0517,984,1037,1.0539,934,909,0.9732
3681,IMG_20260604_064219,0.9163,395358,418253,1.0579,744,755,1.0148,1158,1133,0.9784
3681,IMG_20260604_064221,0.9022,455526,474809,1.0423,744,762,1.0242,1254,1222,0.9745
3681,IMG_20260604_064222,0.9228,448860,470412,1.048,720,742,1.0306,1229,1203,0.9788
3681,IMG_20260604_064223,0.9228,436434,462422,1.0595,744,762,1.0242,1197,1177,0.9833
3681,IMG_20260604_064224,0.9284,480372,502957,1.047,744,774,1.0403,1127,1088,0.9654
3681,IMG_20260604_064224_1,0.9284,409170,423252,1.0344,744,768,1.0323,922,909,0.9859
3681,IMG_20260604_064225,0.9342,406908,425005,1.0445,720,762,1.0583,941,928,0.9862
3681,IMG_20260604_064226,0.9295,403116,424118,1.0521,744,761,1.0228,915,903,0.9869
3681,IMG_20260604_064229,0.9329,5682444,6049388,1.0646,1985,2098,1.0569,3429,3417,0.9965
3681,IMG_20260604_064232,0.9117,913632,967182,1.0586,1080,1139,1.0546,1216,1197,0.9844
3682,IMG_20260604_065542,0.9237,4021904,4236429,1.0533,2153,2271,1.0548,2640,2614,0.9902
3682,IMG_20260604_065543,0.9307,5541235,5865283,1.0585,2153,2277,1.0576,3507,3493,0.996
3682,IMG_20260604_065545,0.9278,517224,549251,1.0619,768,800,1.0417,1331,1325,0.9955
3682,IMG_20260604_065545_1,0.9287,521532,545510,1.046,792,819,1.0341,1331,1312,0.9857
3682,IMG_20260604_065545_2,0.9275,517290,538998,1.042,768,787,1.0247,1357,1318,0.9713
3682,IMG_20260604_065546,0.931,512550,534195,1.0422,744,775,1.0417,1325,1299,0.9804
3682,IMG_20260604_065546_1,0.9198,514224,544199,1.0583,744,781,1.0497,1357,1318,0.9713
3682,IMG_20260604_065547,0.9229,499740,528720,1.058,792,819,1.0341,1331,1305,0.9805
3682,IMG_20260604_065547_1,0.9279,511872,538762,1.0525,768,806,1.0495,1356,1312,0.9676
3682,IMG_20260604_065548,0.9245,502188,531300,1.058,792,800,1.0101,1306,1286,0.9847
3682,IMG_20260604_065548_1,0.9306,505272,529527,1.048,744,768,1.0323,1331,1312,0.9857
3682,IMG_20260604_065549,0.9304,505020,526913,1.0434,792,813,1.0265,1357,1324,0.9757
3682,IMG_20260604_065549_1,0.9253,498654,528857,1.0606,792,819,1.0341,1325,1312,0.9902
3682,IMG_20260604_065550,0.9288,502866,531483,1.0569,768,787,1.0247,1357,1325,0.9764
3682,IMG_20260604_065550_1,0.9346,502146,526412,1.0483,768,787,1.0247,1357,1324,0.9757
3682,IMG_20260604_065551,0.9362,514422,537928,1.0457,792,832,1.0505,1357,1325,0.9764
3682,IMG_20260604_065551_1,0.9276,503328,532809,1.0586,816,844,1.0343,1325,1305,0.9849
3682,IMG_20260604_065552,0.9267,501828,529509,1.0552,816,838,1.027,1357,1318,0.9713
3682,IMG_20260604_065552_1,0.9297,497376,527239,1.06,792,825,1.0417,1325,1319,0.9955
3682,IMG_20260604_065553,0.9245,507042,537141,1.0594,816,851,1.0429,1357,1318,0.9713
3682,IMG_20260604_065553_1,0.9226,509610,538595,1.0569,816,845,1.0355,1357,1318,0.9713
3682,IMG_20260604_065554,0.9326,520890,546685,1.0495,816,845,1.0355,1357,1319,0.972
3682,IMG_20260604_065555,0.9305,507132,534317,1.0536,768,793,1.0326,1370,1344,0.981
3682,IMG_20260604_065555_1,0.9317,503754,532574,1.0572,792,807,1.0189,1344,1337,0.9948
3682,IMG_20260604_065556,0.9275,505650,534718,1.0575,816,839,1.0282,1337,1325,0.991
3682,IMG_20260604_065556_1,0.9305,494622,523238,1.0579,792,807,1.0189,1337,1325,0.991
3682,IMG_20260604_065557,0.9288,492804,520644,1.0565,768,794,1.0339,1356,1331,0.9816
3682,IMG_20260604_065557_1,0.9297,504468,534172,1.0589,792,813,1.0265,1318,1312,0.9954
3682,IMG_20260604_065558,0.9305,510036,538911,1.0566,792,826,1.0429,1292,1286,0.9954
3682,IMG_20260604_065558_1,0.9272,485706,514257,1.0588,792,819,1.0341,1254,1229,0.9801
3682,IMG_20260604_065559,0.9315,466452,487501,1.0451,768,787,1.0247,1050,1011,0.9629
3682,IMG_20260604_065559_1,0.9345,441606,461954,1.0461,768,781,1.0169,998,967,0.9689
3683,IMG_20260604_064257,0.8963,835638,864300,1.0343,1320,1370,1.0379,1126,1101,0.9778
3683,IMG_20260604_064258,0.8998,819654,853664,1.0415,1320,1370,1.0379,1049,1024,0.9762
3683,IMG_20260604_064259,0.9159,980892,1023306,1.0432,1296,1357,1.0471,1178,1152,0.9779
3683,IMG_20260604_064300,0.9155,916512,972857,1.0615,1236,1318,1.0663,1255,1248,0.9944
3683,IMG_20260604_064301,0.9223,975930,1033618,1.0591,1296,1344,1.037,1408,1389,0.9865
3683_2,IMG_20260604_064328,0.9274,1064736,1118803,1.0508,1128,1184,1.0496,1664,1639,0.985
3683_2,IMG_20260604_064329,0.9132,1097250,1153708,1.0515,1128,1178,1.0443,1639,1600,0.9762
3683_2,IMG_20260604_064330,0.9097,1098636,1149261,1.0461,1128,1165,1.0328,1638,1606,0.9805
3683_2,IMG_20260604_064331,0.9077,1067682,1125192,1.0539,1104,1158,1.0489,1638,1594,0.9731
3683_2,IMG_20260604_064332,0.9229,1072218,1129585,1.0535,1128,1197,1.0612,1639,1613,0.9841
3683_2,IMG_20260604_064337,0.9267,3090751,3262511,1.0556,2153,2257,1.0483,1964,1957,0.9964
3683_2,IMG_20260604_064338,0.9102,3601210,3776507,1.0487,2153,2257,1.0483,2524,2492,0.9873
3683_2,IMG_20260604_064339,0.9345,2333260,2477256,1.0617,1985,2105,1.0605,1996,1989,0.9965
3683_2,IMG_20260604_064342,0.9189,1198962,1268063,1.0576,1200,1255,1.0458,1997,1965,0.984
3683_2,IMG_20260604_064343,0.9177,1066134,1132195,1.062,1200,1261,1.0508,1613,1600,0.9919
3683_2,IMG_20260604_064344,0.9242,1057164,1125590,1.0647,1224,1261,1.0302,1613,1594,0.9882
3683_2,IMG_20260604_064344_1,0.9223,1068300,1132900,1.0605,1200,1260,1.05,1613,1593,0.9876
3683_2,IMG_20260604_064345,0.9167,1057962,1118472,1.0572,1176,1248,1.0612,1613,1580,0.9795
3683_3,IMG_20260604_070436,0.9187,1454892,1548329,1.0642,1284,1363,1.0615,2381,2381,1.0
3683_3,IMG_20260604_070437,0.921,1462290,1555457,1.0637,1272,1318,1.0362,2432,2380,0.9786
3683_3,IMG_20260604_070437_1,0.919,1488210,1582177,1.0631,1296,1370,1.0571,2432,2400,0.9868
3683_3,IMG_20260604_070437_2,0.9179,1490286,1583006,1.0622,1296,1363,1.0517,2406,2394,0.995
3683_3,IMG_20260604_070438,0.9198,1452726,1546461,1.0645,1320,1363,1.0326,2330,2279,0.9781
3683_3,IMG_20260604_070438_1,0.9194,1433832,1525342,1.0638,1248,1319,1.0569,2278,2246,0.986
3683_3,IMG_20260604_070439,0.9177,1387194,1475906,1.064,1230,1293,1.0512,2202,2195,0.9968
3683_3,IMG_20260604_070439_1,0.9281,1366386,1448666,1.0602,1224,1280,1.0458,2067,2067,1.0
3683_3,IMG_20260604_070439_2,0.9244,1370844,1455757,1.0619,1224,1286,1.0507,2169,2151,0.9917
3683_3,IMG_20260604_070440,0.9306,1384020,1467691,1.0605,1224,1287,1.0515,2253,2208,0.98
3683_3,IMG_20260604_070440_1,0.9298,1390614,1477698,1.0626,1248,1293,1.0361,2228,2183,0.9798
3683_3,IMG_20260604_070441,0.931,1396188,1480176,1.0602,1224,1287,1.0515,2202,2176,0.9882
3683_3,IMG_20260604_070441_1,0.9301,1375056,1457802,1.0602,1200,1267,1.0558,2201,2170,0.9859
3683_3,IMG_20260604_070441_2,0.9335,1371798,1456770,1.0619,1200,1261,1.0508,2163,2151,0.9945
3683_3,IMG_20260604_070442,0.932,1395150,1480461,1.0611,1224,1267,1.0351,2221,2201,0.991
3683_3,IMG_20260604_070442_1,0.9326,1413186,1500680,1.0619,1224,1286,1.0507,2279,2265,0.9939
3683_3,IMG_20260604_070442_2,0.9303,1414758,1501596,1.0614,1224,1287,1.0515,2298,2285,0.9943
3683_3,IMG_20260604_070443,0.9279,1419630,1510725,1.0642,1218,1293,1.0616,2323,2311,0.9948
3683_3,IMG_20260604_070446,0.9351,6030400,6402889,1.0618,2153,2277,1.0576,3353,3328,0.9925
3685,IMG_20260604_063542,0.8923,646013,691774,1.0708,973,960,0.9866,1331,1325,0.9955
3685,IMG_20260604_063544,0.8733,602626,636631,1.0564,963,954,0.9907,1178,1197,1.0161
3685,IMG_20260604_063546,0.8693,635726,680089,1.0698,957,909,0.9498,1271,1312,1.0323
3685,IMG_20260604_063546_1,0.893,669771,696858,1.0404,922,909,0.9859,1389,1401,1.0086
3685,IMG_20260604_063547,0.8776,681490,707638,1.0384,938,890,0.9488,1440,1453,1.009
3685,IMG_20260604_063548,0.8653,701291,742282,1.0585,960,960,1.0,1532,1568,1.0235
3685,IMG_20260604_063548_1,0.8652,722969,752906,1.0414,982,954,0.9715,1603,1638,1.0218
3685,IMG_20260604_063549,0.8893,727979,763436,1.0487,995,973,0.9779,1597,1600,1.0019
3685,IMG_20260604_063550,0.8983,726667,735609,1.0123,989,972,0.9828,1597,1600,1.0019
3685,IMG_20260604_063551,0.8852,717536,744044,1.0369,982,980,0.998,1562,1587,1.016
3685,IMG_20260604_063552,0.8832,708951,746779,1.0534,973,973,1.0,1542,1568,1.0169
3685,IMG_20260604_063552_1,0.8891,710127,737542,1.0386,979,973,0.9939,1591,1594,1.0019
3685,IMG_20260604_063553,0.8823,724651,751998,1.0377,970,973,1.0031,1564,1593,1.0185
3685,IMG_20260604_063555,0.886,817959,839781,1.0267,1076,1062,0.987,1664,1677,1.0078
3685,IMG_20260604_063556,0.8864,830205,836857,1.008,1075,1044,0.9712,1677,1696,1.0113
6502,IMG_20260604_070217,0.8834,980268,1029095,1.0498,912,947,1.0384,1370,1344,0.981
