foto,fila,nombre,arete,telefono,marker_px,px_per_cm,distancia_m,nivel_distancia,cow_conf,area_px,lateral_area_cm2,lateral_area_cm2_corr,body_length_cm,height_cm,chest_depth_cm,aspect_ratio,fill_ratio,marcador_en_caja,seleccionada_3m,estado
IMG_20260912_071619.jpg,10,Martinica,,xiaomi_15_ultra,156.54,10.4362,2.508,2.5,0.953,1587987,14580.03,20974.32,228.82,127.54,126.87,1.7941,0.4996,0,0,ok
IMG_20260912_071619_1.jpg,10,Martinica,,xiaomi_15_ultra,156.54,10.4362,2.508,2.5,0.945,1578641,14494.32,20850.99,228.72,127.54,126.96,1.7934,0.4969,0,0,ok
IMG_20260912_071620.jpg,10,Martinica,,xiaomi_15_ultra,156.8,10.4532,2.503,2.5,0.951,1575826,14421.57,20757.55,227.78,128.0,126.76,1.7795,0.4946,0,0,ok
IMG_20260912_071621.jpg,10,Martinica,,xiaomi_15_ultra,155.78,10.3851,2.52,2.5,0.957,1589581,14738.76,21168.12,223.69,133.75,127.59,1.6724,0.4926,0,0,ok
IMG_20260912_071629.jpg,10,Martinica,,xiaomi_15_ultra,129.54,8.636,3.03,3.0,0.864,1165461,15626.98,21209.5,233.44,131.89,123.09,1.77,0.5076,0,1,ok
IMG_20260912_071630.jpg,10,Martinica,,xiaomi_15_ultra,129.29,8.6195,3.036,3.0,0.948,1171541,15768.55,21390.09,233.89,129.13,129.13,1.8113,0.5221,0,0,ok
IMG_20260912_071630_1.jpg,10,Martinica,,xiaomi_15_ultra,129.02,8.6016,3.042,3.0,0.949,1157295,15641.58,21205.42,233.68,131.02,131.02,1.7835,0.5109,0,0,ok
IMG_20260912_071631.jpg,10,Martinica,,xiaomi_15_ultra,129.52,8.635,3.031,3.0,0.946,1155847,15501.68,21038.74,232.77,127.5,126.81,1.8256,0.5223,0,0,ok
IMG_20260912_071632.jpg,10,Martinica,,xiaomi_15_ultra,129.52,8.635,3.031,3.0,0.938,1138773,15272.69,20727.96,231.27,130.4,130.4,1.7735,0.5064,0,0,ok
IMG_20260912_071632_1.jpg,10,Martinica,,xiaomi_15_ultra,130.02,8.6683,3.019,3.0,0.937,1122544,14939.47,20297.89,229.57,126.21,126.21,1.819,0.5156,0,1,ok
IMG_20260912_071633.jpg,10,Martinica,,xiaomi_15_ultra,130.52,8.7013,3.007,3.0,0.851,1128695,14907.78,20276.72,228.82,128.72,127.91,1.7777,0.5062,0,1,ok
IMG_20260912_071633_1.jpg,10,Martinica,,xiaomi_15_ultra,130.03,8.6689,3.019,3.0,0.942,1147446,15268.71,20745.64,230.25,129.2,126.2,1.7821,0.5133,0,1,ok
IMG_20260912_071634.jpg,10,Martinica,,xiaomi_15_ultra,130.03,8.6689,3.019,3.0,0.936,1139233,15159.42,20597.15,231.06,128.51,125.51,1.798,0.5106,0,1,ok
IMG_20260912_071639.jpg,10,Martinica,,xiaomi_15_ultra,111.27,7.4181,3.528,3.5,0.929,928907,16880.52,22004.76,239.82,132.78,131.17,1.8061,0.5301,0,0,ok
IMG_20260912_071640.jpg,10,Martinica,,xiaomi_15_ultra,111.54,7.4359,3.519,3.5,0.942,924563,16721.26,21810.14,240.19,130.04,130.04,1.8469,0.5353,0,0,ok
IMG_20260912_071640_1.jpg,10,Martinica,,xiaomi_15_ultra,111.8,7.4533,3.511,3.5,0.948,966188,17392.82,22699.25,244.73,133.1,133.1,1.8387,0.534,0,0,ok
IMG_20260912_071641.jpg,10,Martinica,,xiaomi_15_ultra,112.29,7.4859,3.496,3.5,0.888,934674,16678.89,21791.31,241.12,130.78,130.78,1.8437,0.5289,0,0,ok
IMG_20260912_071642.jpg,10,Martinica,,xiaomi_15_ultra,111.53,7.4353,3.52,3.5,0.927,949244,17170.39,22395.51,241.01,133.42,130.06,1.8065,0.534,0,0,ok
IMG_20260912_071642_1.jpg,10,Martinica,,xiaomi_15_ultra,111.03,7.402,3.535,3.5,0.9,959611,17514.59,22818.98,244.8,133.21,133.21,1.8377,0.5371,0,0,ok
IMG_20260912_071643.jpg,10,Martinica,,xiaomi_15_ultra,110.76,7.3839,3.544,3.5,0.896,900523,16516.86,21506.04,241.88,133.53,133.53,1.8114,0.5114,0,0,ok
IMG_20260912_071643_1.jpg,10,Martinica,,xiaomi_15_ultra,110.02,7.3344,3.568,3.5,0.935,963949,17919.43,23293.65,255.78,137.98,137.03,1.8538,0.5077,1,0,ok
IMG_20260912_071644.jpg,10,Martinica,,xiaomi_15_ultra,109.02,7.2682,3.6,3.5,0.934,923792,17487.17,22681.34,247.38,137.31,135.52,1.8016,0.5148,0,0,ok
IMG_20260912_071644_1.jpg,10,Martinica,,xiaomi_15_ultra,107.79,7.1859,3.642,3.5,0.761,954088,18476.71,23898.67,250.21,139.02,135.4,1.7998,0.5312,0,0,ok
IMG_20260912_071648.jpg,10,Martinica,,xiaomi_15_ultra,129.03,8.6019,3.042,3.0,0.94,1212154,16382.0,22209.41,241.11,131.71,131.71,1.8305,0.5158,0,0,ok
IMG_20260912_071648_1.jpg,10,Martinica,,xiaomi_15_ultra,128.53,8.5684,3.054,3.0,0.943,1221132,16632.91,22524.73,240.54,132.93,132.11,1.8095,0.5202,0,0,ok
IMG_20260912_071649.jpg,10,Martinica,,xiaomi_15_ultra,129.03,8.6017,3.042,3.0,0.929,1177372,15912.83,21573.17,239.49,130.9,130.9,1.8295,0.5076,0,0,ok
IMG_20260912_071649_1.jpg,10,Martinica,,xiaomi_15_ultra,128.77,8.5847,3.048,3.0,0.935,1222584,16589.33,22477.78,239.26,131.98,131.98,1.8129,0.5253,0,0,ok
IMG_20260912_071650.jpg,10,Martinica,,xiaomi_15_ultra,129.02,8.6012,3.042,3.0,0.935,1165280,15751.27,21353.79,238.11,130.91,130.91,1.8188,0.5053,0,0,ok
IMG_20260912_071650_1.jpg,10,Martinica,,xiaomi_15_ultra,128.79,8.5857,3.048,3.0,0.915,1196133,16226.45,21986.85,238.53,133.36,133.36,1.7886,0.5101,0,0,ok
IMG_20260912_071654.jpg,10,Martinica,,xiaomi_15_ultra,160.81,10.7209,2.441,2.5,0.952,1673551,14560.63,21136.77,229.18,126.58,124.71,1.8106,0.5019,0,0,ok
